Code,Name,MainGroup,SubTags,Industry,GroupSize
1101,台泥,水泥,"一帶一路, 水泥, 資產股","水泥, 水泥製品, 汽電共生, 電力, 預拌混凝土",13
1102,亞泥,水泥,"一帶一路, 水泥","水泥, 汽電共生, 電力, 預拌混凝土, 高爐水泥",13
1103,嘉泥,水泥,"水泥, 資產股","地產, 旅宿／餐飲, 水泥, 物業投資發展, 貨櫃場服務, 運輸事業, 飯店",13
1104,環泥,水泥,"水泥, 穿載裝置","水泥, 水泥製品, 預拌混凝土",13
1108,幸福,水泥,"夏季, 水泥","水泥, 預拌混凝土, 高爐水泥",13
1109,信大,水泥,水泥,"水泥, 預拌混凝土, 高爐水泥",13
1110,東泥,水泥,"水泥, 資產股","水泥, 高爐水泥",13
1201,味全,食品,食品,"乳製品, 非酒精飲料, 食品加工, 飲料相關",61
1203,味王,食品,食品,"罐頭業, 調味品, 調理食品, 資產股, 速食麵, 食品加工",61
1210,大成,食品,"寵物, 食品","大宗物資, 肉品加工, 農林漁牧, 食品加工, 飼料",61
1213,大飲,食品,食品,"非酒精飲料, 飲料相關",61
1215,卜蜂,食品,"寵物, 食品","肉品加工, 農林漁牧, 食品加工, 飼料",61
1216,統一,食品,"二胎化, 夏季, 寵物, 文創, 第三方支付, 食品","乳製品, 穀類烘焙製品, 速食麵, 非酒精飲料, 食品加工, 飲料相關",61
1217,愛之味,食品,"夏季, 食品","乳製品, 罐頭業, 非酒精飲料, 食品加工, 飲料相關",61
1218,泰山,食品,"夏季, 食品","大宗物資, 油脂, 非酒精飲料, 飲料相關",61
1219,福壽,食品,寵物,"大宗物資, 寵物食品, 油脂, 農林漁牧, 食品加工, 飼料",61
1220,台榮,食品,寵物,"大宗物資, 流通業, 磨粉製品, 製糖, 農林漁牧, 食品加工, 食品飲料相關通路, 飼料",61
1225,福懋油,食品,寵物,"大宗物資, 油脂, 農林漁牧, 飼料, 麵粉",61
1227,佳格,食品,二胎化,"乳製品, 保健食品, 大宗物資, 油脂, 穀類烘焙製品, 食品加工",61
1229,聯華,傳產其他,,"大宗物資, 系統整合, 軟體業, 麵粉",246
1231,聯華食,食品,,"穀類烘焙製品, 調理食品, 食品加工, 餅乾製品",61
1232,大統益,食品,,"大宗物資, 油脂, 磨粉製品, 食品加工",61
1233,天仁,"觀光, 食品",,"旅宿／餐飲, 茶葉相關, 連鎖飲料, 食品加工, 餐飲","54, 61"
1234,黑松,食品,"夏季, 資產股","流通業, 資產股, 非酒精飲料, 食品飲料相關通路, 飲料相關",61
1235,興泰,食品,,"農林漁牧, 飼料",61
1236,宏亞,食品,,"可可製品, 食品加工, 餅乾製品",61
1240,茂生農經,生技醫療,農業生技,"家畜／家禽, 農林漁牧, 飼料",134
1256,鮮活果汁-KY,食品,夏季,"非酒精飲料, 飲料相關",61
1259,安心,觀光,,"旅宿／餐飲, 餐飲",54
1264,德麥,食品,,"流通業, 磨粉製品, 穀類烘焙製品, 食品加工, 食品飲料相關通路",61
1268,漢來美食,觀光,,"旅宿／餐飲, 餐飲",54
1294,漢田生技,食品,,"生物科技, 食品生技",61
1295,生合,食品,,"生物科技, 食品生技",61
1301,台塑,"塑膠, 電機電纜","一帶一路, 塑膠, 碳權, 福建自貿區","AN, EVA, PE, PP, PVC, 其他化工產品, 化學工業, 化纖原料, 合成樹脂, 塑化原料, 鹼業","62, 32"
1303,南亞,塑膠,"一帶一路, 塑膠","DOP, EG, PA, 丁二醇, 化學工業, 化學纖維, 化纖原料, 印刷電路板, 印刷電路板相關, 合成樹脂, 塑化原料, 塑化製品, 塑膠加工, 塑膠皮布, 玻纖布, 聚酯棉, 聚酯粒, 聚酯絲, 銅箔, 銅箔基板",62
1304,台聚,塑膠,塑膠,"ABS, EVA, PE, PS, 塑化原料",62
1305,華夏,塑膠,塑膠,"PVC, 塑化原料, 塑化製品, 塑膠加工, 塑膠皮布",62
1307,三芳,塑膠,"NIKE, Under Armour, 塑膠","傳產其他, 塑化製品, 塑膠皮布, 鞋材",62
1308,亞聚,塑膠,塑膠,"EVA, PE, 塑化原料",62
1309,台達化,塑膠,塑膠,"ABS, PS, 塑化原料",62
1310,台苯,塑膠,塑膠,"SM, 塑化原料",62
1312,國喬,塑膠,,"ABS, SM, 塑化原料",62
1313,聯成,"塑膠, 蘋果供應鏈",,"DOP, PA, PVC, 塑化原料","62, 29"
1314,中石化,"化學, 紡織, 網通, 記憶體",資產股,"AN, CPL, 化學纖維, 化纖原料, 尼龍粒, 資產股","69, 59, 92, 27"
1315,達新,"塑膠, 營建, 紡織","東協, 資產股","塑化製品, 塑膠加工, 建材, 成衣, 成衣製造, 複合板, 資產股","62, 122, 59"
1316,上曜,"化學, 營建, 食品",,"PU樹脂, 保健食品, 化學工業, 地產, 營建, 食品加工","69, 122, 61"
1319,東陽,電動車,"MIH, 汽車零組件","汽機車零組件, 汽車保險桿, 汽車鈑金, 車用冷卻系統",54
1321,大洋,塑膠,資產股,"PVC, 塑化原料, 塑化製品, 塑膠加工, 塑膠皮布, 資產股",62
1323,永裕,塑膠,,"塑化製品, 塑膠加工",62
1324,地球,化學,,"化學工業, 膠帶",69
1325,恆大,紡織,"二胎化, 空污, 美容, 防疫","不織布, 工業紡織品",59
