Date,SectorName,PriceChange,TurnoverChange,FundFlow
2026-01-27,概念股_衛生保健,6.28,427.78,77
2026-01-27,概念股_生物檢測,4.05,393.33,59
2026-01-27,IC-製造,1.62,161.26,37850
2026-01-27,概念股_防疫,2.97,155.81,617
2026-01-27,概念股_建材,-1.2,152.49,276
2026-01-27,IC-其他,1.33,138.75,1647
2026-01-27,概念股_福建自貿區,1.65,120.77,28874
2026-01-27,IC-通路,2.92,120.22,6838
2026-01-27,概念股_新藥研發,5.9,105.49,5935
2026-01-27,概念股_新藥,5.85,104.52,5945
2026-01-27,電子元件通路,0.79,97.69,508
2026-01-27,概念股_生技服務,4.22,96.05,1459
2026-01-27,電信服務,-0.92,87.06,1346
2026-01-27,LED照明及光元件,0.66,76.34,1804
2026-01-27,磁碟陣列,-2.04,69.48,305
2026-01-27,記憶體銷售,0.31,67.22,10309
2026-01-27,概念股_生物辨識,1.49,67.08,46337
