Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio
2026-01-31,ABF,8.33,54.3,16943,,,7783,1402,10.36
2026-01-31,IC-代工,,,,322949,7226,,,
2026-01-31,IC-製造,,,,,,,,9.05
2026-01-31,IC-通路,,,,,,3972,1027,
2026-01-31,LCD-TFT面板,0.58,51.39,8255,508211,29255,,,
2026-01-31,其他,-1.4,48.64,125,,,3115,1305,
2026-01-31,太陽能,,,,,,,,7.32
2026-01-31,文創娛樂,-0.33,52.24,35,,,,,
2026-01-31,概念股_3DIC聯盟,,,,,,9327,894,
2026-01-31,概念股_AI PC,,,,717812,4345,,,
2026-01-31,概念股_CES,,,,1934103,29301,,,
2026-01-31,概念股_CoWoS,,,,,,10518,695,7.69
2026-01-31,概念股_FOPLP扇出型封裝,,,,293886,26281,,,
2026-01-31,概念股_GB200,,,,,,15939,738,
2026-01-31,概念股_HPC,,,,,,9596,824,
2026-01-31,概念股_IC載板,8.59,55.01,21026,110529,7260,8284,1737,7.49
2026-01-31,概念股_MIH概念股,,,,789779,28393,,,
2026-01-31,概念股_MWC,,,,892867,31093,,,
2026-01-31,概念股_Micro LED,,,,576167,30687,,,
2026-01-31,概念股_MiniLED,,,,617367,30394,,,
2026-01-31,概念股_PCB,,,,,,24054,319,
2026-01-31,概念股_TPU,,,,,,9783,574,
2026-01-31,概念股_Tesla,,,,564144,24120,,,
2026-01-31,概念股_iPhone,,,,370329,6224,14282,653,
2026-01-31,概念股_一帶一路,,,,,,,,7.32
2026-01-31,概念股_寵物,-1.05,41.71,365,,,,,
2026-01-31,概念股_小米,,,,492472,5036,,,
2026-01-31,概念股_居家辦公(WFH),,,,,,3284,271,
2026-01-31,概念股_智慧顯示器,-0.96,38.79,7057,556701,28451,,,
2026-01-31,概念股_東協,-1.01,46.36,535,,,,,
2026-01-31,概念股_環境工程,,,,,,4887,496,9.49
2026-01-31,概念股_空污,,,,,,2808,1526,
2026-01-31,概念股_第三方支付,,,,,,,,8.96
2026-01-31,概念股_虛擬貨幣,,,,,,15873,497,
2026-01-31,概念股_行動支付,,,,,,,,9.55
2026-01-31,概念股_視力保健,-0.55,61.73,100,,,,,
2026-01-31,概念股_記憶體,,,,,,,,8.8
2026-01-31,概念股_車聯網,,,,1086475,31331,,,
2026-01-31,概念股_軌道衛星,,,,523999,23683,,,
2026-01-31,概念股_農業生技,-0.58,118.69,127,,,,,
2026-01-31,概念股_銅箔,,,,,,,,13.63
2026-01-31,概念股_防疫,,,,,,2731,1384,
2026-01-31,概念股_雙十一,,,,725681,26483,,,
2026-01-31,橡膠,-1.24,73.07,293,,,,,
2026-01-31,玻璃陶瓷,,,,,,,,12.55
2026-01-31,綠能環保,,,,,,5238,477,7.34
2026-01-31,記憶體IC設計,,,,72604,5992,,,
2026-01-31,記憶體製造,,,,,,10283,369,7.32
2026-01-31,資訊通路,-0.16,113.79,330,,,,,
2026-01-31,金控,,,,,,,,14.8
2026-01-31,銀行,-0.49,78.32,903,,,,,
2026-01-31,高爾夫球,-0.76,45.88,39,,,,,
