Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-02-04,ABF,,,,,,,,9.52,,,,
2026-02-04,IC-封測,,,,,,,,,,2024.0,,
2026-02-04,IC-製造,-6.28,105.98,45141,,,,,8.51,,,,
2026-02-04,IC-設計,,,,,,,,,3742.0,,,
2026-02-04,NB與手機零組件,9.2,119.61,13355,,,,,,8695.0,7524.0,708.0,
2026-02-04,PCB-材料設備,,,,,,9974,982,,,,,
2026-02-04,太陽能,,,,,,,,8.01,,,,
2026-02-04,散熱零組件,5.9,83.12,8533,,,,,,,,-240.0,
2026-02-04,概念股_3DIC聯盟,,,,,,,,,,,,-583.0
2026-02-04,概念股_3D列印,1.48,54.83,39658,,,,,,,,,
2026-02-04,概念股_3D感測,,,,,,,,,-901.0,,,
2026-02-04,概念股_5G,,,,,,11514,1183,,5130.0,1707.0,,
2026-02-04,概念股_ADAS,0.46,61.49,44443,503612,4475,,,,,,,
2026-02-04,概念股_AI PC,,,,732867,6476,,,,,3676.0,6035.0,300.0
2026-02-04,概念股_AMD,,,,,,23859,1436,,,5397.0,3499.0,-536.0
2026-02-04,概念股_ASIC,,,,,,,,,4017.0,,,
2026-02-04,概念股_AWS,,,,,,,,,9291.0,7250.0,968.0,
2026-02-04,概念股_Apple,,,,,,35412,660,,,,,-600.0
2026-02-04,概念股_Apple Pay,,,,,,,,,3710.0,,,
2026-02-04,概念股_A股入摩,,,,,,,,,6979.0,4508.0,1671.0,
2026-02-04,概念股_CES,,,,1935623,3339,,,,,,,-2310.0
2026-02-04,概念股_Chromebook,,,,,,4560,1137,,4084.0,,,
2026-02-04,概念股_CoWoS,,,,,,,,7.16,,,,-431.0
2026-02-04,概念股_FANG,,,,368264,4922,,,,,,,
2026-02-04,概念股_GB200,,,,,,,,,9361.0,6235.0,2719.0,
2026-02-04,概念股_GB300,,,,323568,4200,11714,696,,16972.0,14494.0,906.0,
2026-02-04,概念股_HPC,,,,,,,,,,,,-462.0
2026-02-04,概念股_IC載板,,,,,,,,7.02,,,,
2026-02-04,概念股_MIH概念股,,,,771502,5645,,,,262.0,,,
2026-02-04,概念股_MWC,,,,,,,,,,,,320.0
2026-02-04,概念股_PCB,,,,,,23062,835,,,,,-461.0
2026-02-04,概念股_PS5,,,,,,,,,,1865.0,,-1388.0
2026-02-04,概念股_TPU,,,,,,,,,,-3534.0,,4.0
2026-02-04,概念股_Type C,,,,,,,,,,5352.0,609.0,
2026-02-04,概念股_Wifi 7,,,,,,,,,4243.0,,,
2026-02-04,概念股_iPhone,,,,379022,5629,,,,,,,-415.0
2026-02-04,概念股_一帶一路,,,,,,,,7.29,,8432.0,948.0,
2026-02-04,概念股_人工智慧,,,,,,11110,1422,,,,,196.0
2026-02-04,概念股_元宇宙,,,,,,,,,,,,-418.0
2026-02-04,概念股_小米,,,,,,,,,7661.0,3437.0,3711.0,513.0
2026-02-04,概念股_居家辦公(WFH),,,,,,4859,1249,,,,,
2026-02-04,概念股_建材,2.06,73.3,129,,,,,,,,,
2026-02-04,概念股_快速充電,,,,,,,,,3973.0,,,
2026-02-04,概念股_摺疊機,3.2,67.79,1856,,,,,,,,,
2026-02-04,概念股_散熱模組,7.45,106.07,22020,,,,,,11940.0,10906.0,468.0,
2026-02-04,概念股_智慧城市,,,,,,4217,1008,,,,,
2026-02-04,概念股_智慧音箱,,,,,,,,,1854.0,,,758.0
2026-02-04,概念股_氣候變遷,,,,335038,3901,,,,,,,
2026-02-04,概念股_無人機,,,,,,,,,5952.0,3042.0,2062.0,
2026-02-04,概念股_無線充電,,,,,,8720,1188,,,,,
2026-02-04,概念股_無線耳機,,,,,,5454,845,7.8,5366.0,3115.0,1532.0,
2026-02-04,概念股_物聯網,,,,,,17338,637,,,,,
2026-02-04,概念股_環境工程,,,,,,,,6.84,,,,
2026-02-04,概念股_生物辨識,,,,339859,3310,,,,,,,
2026-02-04,概念股_碳權,,,,510998,16068,,,,,,,
2026-02-04,概念股_穿載式裝置,,,,,,,,,,,,-601.0
2026-02-04,概念股_第三方支付,,,,,,,,9.07,,,,
2026-02-04,概念股_美元升值,,,,407933,5163,,,,,12375.0,3311.0,207.0
2026-02-04,概念股_虛擬貨幣,,,,320847,7009,,,,,,,-380.0
2026-02-04,概念股_行動支付,,,,,,,,8.75,,,,
2026-02-04,概念股_記憶體,-6.55,96.79,78751,361577,7937,,,7.22,,,-1410.0,
2026-02-04,概念股_資訊月,,,,,,5736,1238,,,,,
2026-02-04,概念股_車聯網,,,,1083138,4675,,,,,,,157.0
2026-02-04,概念股_軌道衛星,,,,535161,13993,,,,4576.0,1275.0,,
2026-02-04,概念股_連接器,,,,,,,,,,3882.0,766.0,
2026-02-04,概念股_醫療儀器設備,-1.04,92.19,59,,,,,,,,,
2026-02-04,概念股_銅箔,,,,,,,,12.63,,,,
2026-02-04,概念股_長期照護,,,,,,17374,1365,,,,,
2026-02-04,概念股_電商宅經濟,,,,,,3119,1186,,,,,
2026-02-04,概念股_電競,,,,,,17373,1391,,,,,
2026-02-04,概念股_風電,,,,228741,16901,,,,,,,
2026-02-04,概念股_鴻海MIH電動車平台,,,,,,,,,,,623.0,
2026-02-04,玻璃陶瓷,9.21,45.08,582,,,,,11.88,,,,
2026-02-04,筆記型電腦,,,,,,4686,1157,,,,,
2026-02-04,記憶體IC設計,-5.61,69.27,22764,,,,,,,,-1108.0,
2026-02-04,記憶體製造,-5.61,71.02,21290,146422,4357,,,,,,,
2026-02-04,記憶體銷售,,,,,,,,7.44,,,,
2026-02-04,變壓器與UPS,4.34,116.32,2623,,,,,,,,,
2026-02-04,通訊設備,,,,104312,4217,8211,1249,7.87,,,,
2026-02-04,連接元件,5.42,69.93,9555,,,,,,,,1349.0,
2026-02-04,金屬製品,1.65,66.52,1542,,,,,,,,,
2026-02-04,金控,,,,,,,,15.08,,,,
2026-02-04,電線電纜,,,,144153,13880,,,,,,,
