Date,SectorName,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,foreign_amount,trust_amount
2026-02-26,ABF,,,,,7.32,,
2026-02-26,EMS,,,,,,,285.0
2026-02-26,IC-代工,,,12128,251,,,
2026-02-26,IC-半導體設備,,,,,9.78,,
2026-02-26,IC-封測,,,10823,471,,,
2026-02-26,IC-製造,,,,,7.7,,
2026-02-26,LCD-TFT面板,519101,26213,,,,,
2026-02-26,塑膠,,,11046,1594,,,
2026-02-26,太陽能,,,,,8.21,,
2026-02-26,概念股_5G,,,,,,27246.0,-281.0
2026-02-26,概念股_AI PC,,,,,,23589.0,9441.0
2026-02-26,概念股_AWS,,,7517,500,,21279.0,8160.0
2026-02-26,概念股_Apple,1002618,10008,,,,14395.0,
2026-02-26,概念股_A股入摩,,,4869,236,,23896.0,-769.0
2026-02-26,概念股_CES,1893315,20870,,,,15494.0,
2026-02-26,概念股_Chromebook,,,,,,29122.0,-510.0
2026-02-26,概念股_FOPLP扇出型封裝,290907,20221,14417,1160,,,
2026-02-26,概念股_GB200,,,,,,21975.0,7983.0
2026-02-26,概念股_GB300,,,,,,30284.0,-643.0
2026-02-26,概念股_HPC,,,,,,10206.0,
2026-02-26,概念股_MIH概念股,753856,17274,35758,610,,24771.0,-603.0
2026-02-26,概念股_MWC,888697,27904,,,,18963.0,5547.0
2026-02-26,概念股_Micro LED,577115,28141,,,,,-35.0
2026-02-26,概念股_MiniLED,620228,26918,,,,,27.0
2026-02-26,概念股_Oracle甲骨文,,,3560,418,,25409.0,584.0
2026-02-26,概念股_Tesla,587254,26867,,,,,
2026-02-26,概念股_一帶一路,522823,17572,41717,2336,7.98,30405.0,-1397.0
2026-02-26,概念股_人工智慧,,,,,,23027.0,7342.0
2026-02-26,概念股_保護元件,,,251,211,,,
2026-02-26,概念股_小米,,,,,,21915.0,1218.0
2026-02-26,概念股_智慧音箱,,,,,,14506.0,
2026-02-26,概念股_智慧顯示器,563388,24550,,,,,
2026-02-26,概念股_無線耳機,,,,,6.92,,
2026-02-26,概念股_物聯網,441170,10134,,,,,514.0
2026-02-26,概念股_碳權,,,18814,289,,,
2026-02-26,概念股_福建自貿區,,,6275,513,,,
2026-02-26,概念股_穿載式裝置,,,,,,17523.0,
2026-02-26,概念股_第三方支付,,,,,8.9,,
2026-02-26,概念股_行動支付,,,,,8.73,,
2026-02-26,概念股_記憶體,,,,,7.2,,
2026-02-26,概念股_車用電子,,,,,,25945.0,173.0
2026-02-26,概念股_車聯網,1075938,24044,,,,20029.0,4524.0
2026-02-26,概念股_軌道衛星,527266,22990,26235,300,,,
2026-02-26,概念股_連接器,,,,,,,-2293.0
2026-02-26,概念股_醫療器材耗材,,,8639,1442,8.69,,
2026-02-26,概念股_銅箔,,,,,9.75,,
2026-02-26,概念股_銅箔基板,,,4801,533,,,
2026-02-26,概念股_雙十一,727238,24752,,,,,
2026-02-26,概念股_電動車,442474,12312,,,,,
2026-02-26,概念股_風電,227973,14146,15698,503,,,
2026-02-26,概念股_鴻海MIH電動車平台,646954,10889,,,,,
2026-02-26,玻璃陶瓷,89259,10565,11076,722,12.41,,
2026-02-26,金屬製品,,,,,12.8,,
2026-02-26,金控,,,,,14.46,,
2026-02-26,電信服務,,,,,8.76,,
