Date,SectorName,ShortBalance,ShortChange,ShortMarginRatio,foreign_amount,trust_amount,dealer_amount
2026-02-27,ABF,,,7.44,,,
2026-02-27,IC-半導體設備,,,9.96,4778.0,507.0,
2026-02-27,IC-封測,,,,7737.0,-3274.0,
2026-02-27,IC-製造,,,7.74,3065.0,,
2026-02-27,IC-設計,,,,,-827.0,
2026-02-27,IP/ASIC,,,,3087.0,,
2026-02-27,LCD-TFT面板,31057,2682,,4610.0,73.0,
2026-02-27,NB與手機零組件,,,,3897.0,51.0,
2026-02-27,PCB-製造,16839,1785,,,,
2026-02-27,儀器設備工程,,,,3965.0,-679.0,
2026-02-27,太陽能,9671,1624,8.9,,,
2026-02-27,概念股_3D列印,,,,1472.0,,
2026-02-27,概念股_AI PC,,,,,,1587.0
2026-02-27,概念股_ASIC,,,,4866.0,1869.0,
2026-02-27,概念股_AWS,,,,,,2293.0
2026-02-27,概念股_Apple,,,,,,1433.0
2026-02-27,概念股_CES,74631,5491,,,,1326.0
2026-02-27,概念股_FOPLP扇出型封裝,18226,3809,,6582.0,-2079.0,
2026-02-27,概念股_GB200,,,,,,1987.0
2026-02-27,概念股_HBM,,,,3215.0,1100.0,
2026-02-27,概念股_HPC,,,,,,1658.0
2026-02-27,概念股_MIH概念股,41008,5250,,,,
2026-02-27,概念股_MWC,40331,3951,,,,2418.0
2026-02-27,概念股_Micro LED,32455,2523,,,,
2026-02-27,概念股_MiniLED,33833,2923,,,,
2026-02-27,概念股_PS5,,,,,,1330.0
2026-02-27,概念股_Switch,,,,,,2125.0
2026-02-27,概念股_TPU,,,,,,2589.0
2026-02-27,概念股_Tesla,34201,3676,,,,
2026-02-27,概念股_Type C,,,,,294.0,
2026-02-27,概念股_iPhone,,,,,,1561.0
2026-02-27,概念股_一帶一路,,,8.28,,,
2026-02-27,概念股_人工智慧,,,,,,1756.0
2026-02-27,概念股_共享單車,3435,1618,,,,
2026-02-27,概念股_太陽能,,,,2675.0,,
2026-02-27,概念股_散熱模組,,,,4444.0,119.0,
2026-02-27,概念股_智慧音箱,,,,,,2131.0
2026-02-27,概念股_智慧顯示器,31679,2960,,4974.0,-245.0,
2026-02-27,概念股_氣候變遷,,,,,,2529.0
2026-02-27,概念股_無人機,,,,,-2634.0,
2026-02-27,概念股_無線充電,,,,,,1854.0
2026-02-27,概念股_無線耳機,,,7.85,,,
2026-02-27,概念股_矽智財IP,,,,3008.0,,
2026-02-27,概念股_穿載式裝置,,,,,,2197.0
2026-02-27,概念股_第三方支付,,,8.82,448.0,,279.0
2026-02-27,概念股_虛擬貨幣,,,,,,1641.0
2026-02-27,概念股_行動支付,,,8.77,,,
2026-02-27,概念股_記憶體,,,7.24,,-1910.0,
2026-02-27,概念股_車聯網,54872,2426,,,,3153.0
2026-02-27,概念股_軌道衛星,31617,5382,,,,
2026-02-27,概念股_醫療器材耗材,,,8.51,,,
2026-02-27,概念股_銅箔,,,9.61,,,
2026-02-27,概念股_雙十一,34361,2263,,6536.0,-699.0,
2026-02-27,概念股_電動車,24983,1650,,,,
2026-02-27,概念股_鴻海MIH電動車平台,22316,1824,,,,
2026-02-27,橡膠,1873,1650,,,,
2026-02-27,玻璃陶瓷,,,12.38,,,
2026-02-27,航運,,,,,-1636.0,
2026-02-27,通訊設備,,,6.99,,,
2026-02-27,連接元件,,,,4202.0,457.0,
2026-02-27,金屬製品,,,11.83,,,
2026-02-27,金控,,,15.02,3547.0,2353.0,
2026-02-27,電機,,,,,-324.0,
2026-02-27,顯示器,3324,2058,,,,
