Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-04,ABF,,,,,,,3150.0,-27.0,
2026-03-04,Core Sys.,,,,,,,920.0,0.0,
2026-03-04,EMS,,,,160354,1718,,,,
2026-03-04,IC-代工,,,,,,-40287.0,,,
2026-03-04,IC-半導體設備,,,,,,,1316.0,391.0,
2026-03-04,IC-封測,,,,,,,6873.0,-856.0,
2026-03-04,LCD-STN面板,3.12,107.89,1189,66993,4808,,,,
2026-03-04,LCD-TFT面板,,,,576523,14222,,,,
2026-03-04,NB與手機零組件,1.5,70.38,6847,,,,2478.0,638.0,
2026-03-04,PCB-製造,,,,,,,3045.0,-166.0,
2026-03-04,化學工業,,,,206307,1550,,,,
2026-03-04,半導體元件,4.38,163.02,9540,,,,1134.0,506.0,
2026-03-04,塑膠,,,,249586,7603,,,,
2026-03-04,手機製造,-3.3,70.37,152,,,,,,
2026-03-04,數位相機,-3.94,66.98,353,,,,,,
2026-03-04,概念股_3D感測,,,,,,-38512.0,,,1205.0
2026-03-04,概念股_AMD,,,,,,-35167.0,,,764.0
2026-03-04,概念股_AWS,,,,,,,,,-447.0
2026-03-04,概念股_ChatGPT,,,,,,-39360.0,,,1356.0
2026-03-04,概念股_CoWoS,,,,,,-31116.0,,,819.0
2026-03-04,概念股_DANCE,,,,,,-37411.0,,,1784.0
2026-03-04,概念股_FANG,,,,,,-50664.0,,,
2026-03-04,概念股_FOPLP扇出型封裝,,,,357035,16277,,,,
2026-03-04,概念股_HPC,,,,,,-43142.0,,,498.0
2026-03-04,概念股_IC載板,,,,,,,3593.0,-29.0,
2026-03-04,概念股_MIH概念股,,,,817258,13999,,,,
2026-03-04,概念股_MWC,,,,937667,2566,,,,-932.0
2026-03-04,概念股_Micro LED,,,,638378,15867,,,,
2026-03-04,概念股_MiniLED,,,,684174,15821,,,,
2026-03-04,概念股_PCB,,,,,,,6136.0,-216.0,
2026-03-04,概念股_RFID,-3.6,58.78,1242,,,,,,
2026-03-04,概念股_Switch,,,,,,-49720.0,,,759.0
2026-03-04,概念股_TPU,,,,,,-42549.0,,,508.0
2026-03-04,概念股_人工智慧,,,,,,,,,-802.0
2026-03-04,概念股_保護元件,-2.98,104.64,338,,,,,,
2026-03-04,概念股_元宇宙,,,,,,,,,-303.0
2026-03-04,概念股_光通訊,,,,,,,3587.0,1224.0,
2026-03-04,概念股_功率半導體,,,,,,-37537.0,,,1568.0
2026-03-04,概念股_建材,0.17,122.31,466,,,,,,
2026-03-04,概念股_手遊,,,,,,,1717.0,190.0,
2026-03-04,概念股_指紋辨識,,,,,,-35412.0,,,1430.0
2026-03-04,概念股_摺疊機,,,,,,,,-154.0,
2026-03-04,概念股_散熱模組,,,,,,,1640.0,834.0,
2026-03-04,概念股_智慧醫療,-1.19,173.12,438,,,,,,
2026-03-04,概念股_智慧音箱,,,,,,-50743.0,,,931.0
2026-03-04,概念股_智慧顯示器,,,,627024,16384,,,,
2026-03-04,概念股_次世代半導體,,,,,,-36037.0,,,
2026-03-04,概念股_濾波器,-1.93,388.71,6266,,,,,,
2026-03-04,概念股_生物辨識,,,,,,-43382.0,,,1137.0
2026-03-04,概念股_穿載式裝置,,,,,,,,,-2160.0
2026-03-04,概念股_美元升值,,,,,,,5422.0,1047.0,
2026-03-04,概念股_行動支付,,,,,,,,,-37.0
2026-03-04,概念股_車聯網,,,,1128850,4376,,,,-1974.0
2026-03-04,概念股_軌道衛星,,,,593169,2537,,,,
2026-03-04,概念股_軍工,,,,,,340.0,,,
2026-03-04,概念股_醫療器材耗材,,,,93540,3005,,,,
2026-03-04,概念股_銅箔,-7.22,82.64,5464,,,,,,
2026-03-04,概念股_雙十一,,,,783134,14235,,,,
2026-03-04,消費電子,,,,57834,1868,,,,
2026-03-04,玻璃陶瓷,-4.75,60.16,9634,,,,,,
2026-03-04,航運,,,,276886,10168,4264.0,3602.0,-116.0,
2026-03-04,記憶體IC設計,-7.53,69.35,9440,,,,,,
2026-03-04,記憶體製造,-10,59.12,8902,,,,,,
2026-03-04,通訊設備,,,,,,,761.0,,
2026-03-04,連接元件,,,,219201,1443,,3149.0,1615.0,
2026-03-04,金控,,,,,,3043.0,2155.0,553.0,
2026-03-04,電信服務,,,,,,,1259.0,294.0,
2026-03-04,顯示器,-3.73,57.67,692,,,,,,
