Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-11,Core Sys.,,,,,,,,,,0.0,
2026-03-11,EMS,,,,,,,,-6049.0,,,
2026-03-11,IC-代工,,,,,,10266,1744,,,,
2026-03-11,IC-半導體設備,,,,,,,,1200.0,,172.0,
2026-03-11,IC-封測,,,,,,,,,-2345.0,,-45.0
2026-03-11,IC-製造,2.7,133.74,27987,,,,,,,,
2026-03-11,IC-設計,,,,223543,2087,,,-1007.0,,,
2026-03-11,IC-通路,2.73,69.52,4755,,,,,,1088.0,577.0,
2026-03-11,LCD-STN面板,1.64,70.43,555,,,,,,,,
2026-03-11,NB與手機零組件,1.77,60.03,4275,,,,,,,,
2026-03-11,PCB-材料設備,,,,,,,,,3904.0,-1745.0,
2026-03-11,PCB-製造,,,,,,12909,1123,,1105.0,1476.0,
2026-03-11,RAN,,,,,,,,-872.0,,,
2026-03-11,儀器設備工程,,,,,,3379,406,,,,
2026-03-11,其他,,,,267019,8197,,,,1859.0,-86.0,
2026-03-11,半導體元件,6.35,177.91,8954,,,,,,-701.0,,
2026-03-11,商業自動化,4.7,102.22,276,,,,,,,,
2026-03-11,太陽能,,,,99866,2745,11969,961,,,,
2026-03-11,散熱零組件,,,,,,,,-188.0,,,
2026-03-11,文創娛樂,1.36,104.26,269,,,,,,,,
2026-03-11,概念股_3DIC聯盟,,,,,,,,,-1209.0,,-1517.0
2026-03-11,概念股_3D感測,,,,250836,2467,,,,,,-1196.0
2026-03-11,概念股_ADAS,2.3,82.13,35072,,,,,,,,
2026-03-11,概念股_AI PC,,,,,,,,,,,-2655.0
2026-03-11,概念股_AMD,,,,,,,,,,,-442.0
2026-03-11,概念股_AR,,,,,,3513,827,,,,
2026-03-11,概念股_AWS,,,,,,,,,,,-441.0
2026-03-11,概念股_Apple,,,,,,,,,,,-1988.0
2026-03-11,概念股_ChatGPT,,,,,,,,,,,-80.0
2026-03-11,概念股_Chromebook,,,,150883,2198,,,-7559.0,,,
2026-03-11,概念股_CoWoS,,,,,,,,,-2072.0,,-738.0
2026-03-11,概念股_FANG,,,,344976,5820,,,,,,
2026-03-11,概念股_GB200,,,,,,,,,,,-736.0
2026-03-11,概念股_GB300,,,,,,,,,,,-383.0
2026-03-11,概念股_HBM,,,,,,,,,1391.0,7.0,
2026-03-11,概念股_Oracle甲骨文,,,,,,,,-6567.0,,,
2026-03-11,概念股_PCB,,,,,,,,,261.0,,
2026-03-11,概念股_PCB材料,4.77,64.59,1018,,,868,447,,,,
2026-03-11,概念股_PS5,,,,,,,,,,,-1235.0
2026-03-11,概念股_TPU,,,,,,,,,-2382.0,,-1366.0
2026-03-11,概念股_Tesla,5.01,68.14,47690,,,,,,,,
2026-03-11,概念股_Type C,,,,260035,3202,,,,,,
2026-03-11,概念股_iPhone,,,,,,7992,561,,,,-1620.0
2026-03-11,概念股_人工智慧,,,,390644,4547,,,,,,
2026-03-11,概念股_元宇宙,,,,277052,1810,,,,,,-767.0
2026-03-11,概念股_光通訊,4.08,120.99,19982,,,,,,,,
2026-03-11,概念股_夏季,,,,184240,1784,9597,473,,,,
