Date,SectorName,PriceChange,TurnoverChange,FundFlow,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-12,IC-半導體設備,,,,12.36,,,,
2026-03-12,IC-封測,,,,,,,,250.0
2026-03-12,IC-導線架,4.59,75.73,777,,,,,
2026-03-12,IC-製造,,,,6.66,,,,
2026-03-12,LCD-TFT面板,,,,6.54,,,,
2026-03-12,PC介面卡,3.03,110,33,,,,,
2026-03-12,保險,2.45,192.05,290,,,,,
2026-03-12,太陽能,,,,11.09,,,,
2026-03-12,安全監控,4.44,263.64,348,,,,,
2026-03-12,手機製造,4.86,89.14,271,,,,,
2026-03-12,掃描器,4.4,99.07,212,,,,,
2026-03-12,概念股_3DIC聯盟,,,,,12595.0,,,
2026-03-12,概念股_3D感測,,,,,,15040.0,-151.0,
2026-03-12,概念股_AI PC,,,,,18545.0,13043.0,,
2026-03-12,概念股_AMD,,,,,,16791.0,1078.0,2836.0
2026-03-12,概念股_AWS,,,,,30059.0,23074.0,1654.0,5331.0
2026-03-12,概念股_Apple,,,,,22271.0,15825.0,1127.0,5319.0
2026-03-12,概念股_CES,,,,,34198.0,26976.0,1296.0,5926.0
2026-03-12,概念股_ChatGPT,,,,,,17203.0,1752.0,2360.0
2026-03-12,概念股_CoWoS,,,,,,,,1742.0
2026-03-12,概念股_DANCE,,,,,,13681.0,32.0,
2026-03-12,概念股_FANG,,,,,,11935.0,,
2026-03-12,概念股_FOPLP扇出型封裝,,,,6.55,,,,
2026-03-12,概念股_GB200,,,,,27888.0,21488.0,1489.0,4911.0
2026-03-12,概念股_GB300,,,,,4801.0,,,
2026-03-12,概念股_HPC,,,,,,18440.0,-224.0,
2026-03-12,概念股_MWC,,,,,30100.0,25369.0,237.0,
2026-03-12,概念股_Micro LED,,,,6.16,,15648.0,-15.0,
2026-03-12,概念股_MiniLED,,,,,,15781.0,-26.0,
2026-03-12,概念股_PS5,,,,,14391.0,,,3920.0
2026-03-12,概念股_Switch,,,,,,14590.0,-217.0,
2026-03-12,概念股_TPU,,,,,12176.0,,,3169.0
2026-03-12,概念股_Type C,,,,,,,,1076.0
2026-03-12,概念股_iPhone,,,,,14904.0,,,4200.0
2026-03-12,概念股_人工智慧,,,,,23161.0,18305.0,203.0,
2026-03-12,概念股_元宇宙,,,,,17041.0,13962.0,-186.0,
2026-03-12,概念股_智慧顯示器,,,,6.14,,,,
2026-03-12,概念股_無線充電,,,,,18598.0,14471.0,263.0,
2026-03-12,概念股_生物檢測,2.08,84.62,11,,,,,
2026-03-12,概念股_碳權,,,,,14497.0,,,
2026-03-12,概念股_穿載式裝置,,,,,23666.0,17349.0,1046.0,5271.0
2026-03-12,概念股_線上遊戲,2.66,70.85,819,,,,,
2026-03-12,概念股_美元升值,,,,,,,,2427.0
2026-03-12,概念股_虛擬貨幣,,,,,10923.0,,,
2026-03-12,概念股_行動支付,,,,,,,,2259.0
2026-03-12,概念股_製藥業,,,,6.05,,,,
2026-03-12,概念股_記憶體,,,,,,,,-74.0
2026-03-12,概念股_車用電子,,,,,12676.0,,,3744.0
2026-03-12,概念股_車聯網,,,,,29150.0,23490.0,886.0,4774.0
2026-03-12,概念股_軌道衛星,,,,6.16,,,,
2026-03-12,概念股_連接器,,,,,,,,628.0
2026-03-12,概念股_醫療管理顧問,-0.65,400,4,,,,,
2026-03-12,概念股_銅箔,,,,9.04,,,,
2026-03-12,概念股_長期照護,6.11,93.05,7375,,,,,
2026-03-12,概念股_雙十一,,,,,,,131.0,
2026-03-12,概念股_電競,7.08,75.35,9943,6.39,,,,
2026-03-12,概念股_風電,,,,7.51,,,,
2026-03-12,概念股_鴻海MIH電動車平台,,,,,6042.0,,,3013.0
2026-03-12,玻璃陶瓷,,,,12.31,,,,
2026-03-12,磁碟陣列,5.59,385.54,320,,,,,
2026-03-12,自行車,,,,7.17,,,,
2026-03-12,通訊設備,,,,7.11,,,,
2026-03-12,遊戲,2.63,71.81,828,,,,,
2026-03-12,金屬製品,9.45,73.04,1330,6.44,,,,
2026-03-12,電腦周邊,1.72,73.99,680,,,,,
2026-03-12,高爾夫球,1.66,98.31,58,,,,,
