Date,SectorName,PriceChange,TurnoverChange,FundFlow,foreign_amount,trust_amount,dealer_amount
2026-03-17,ABF,8.3,109.46,29423,,,-684.0
2026-03-17,Core Sys.,0.67,79.34,2304,,,
2026-03-17,IC-半導體設備,,,,1426.0,47.0,
2026-03-17,IC-製造,,,,5386.0,-168.0,
2026-03-17,IC-通路,,,,,-242.0,
2026-03-17,PC介面卡,2.39,158.33,57,,,
2026-03-17,儀器設備工程,,,,,,53.0
2026-03-17,半導體元件,-0.26,149.17,3495,,,
2026-03-17,塑膠,,,,-987.0,,-114.0
2026-03-17,掃描器,0.32,65.67,264,,,
2026-03-17,散熱零組件,,,,,619.0,-184.0
2026-03-17,數位相機,1.82,58.82,140,,,
2026-03-17,概念股_3D列印,,,,4121.0,-1173.0,
2026-03-17,概念股_ADAS,,,,1135.0,2537.0,-344.0
2026-03-17,概念股_AMD,,,,,,585.0
2026-03-17,概念股_Apple,,,,,,1165.0
2026-03-17,概念股_IC載板,7.78,107.61,33857,,,-515.0
2026-03-17,概念股_Oracle甲骨文,,,,2027.0,-1137.0,
2026-03-17,概念股_PCB,,,,,,-437.0
2026-03-17,概念股_PS5,,,,,,1339.0
2026-03-17,概念股_TPP,,,,,,19.0
2026-03-17,概念股_Type C,,,,203.0,,
2026-03-17,概念股_一帶一路,,,,2383.0,809.0,-109.0
2026-03-17,概念股_保護元件,-0.36,70.25,170,,,
2026-03-17,概念股_手遊,,,,,-109.0,
2026-03-17,概念股_摺疊機,2.15,193.45,6080,,,
2026-03-17,概念股_散熱模組,,,,,,-374.0
2026-03-17,概念股_機器人,1.21,60.69,1507,,,
2026-03-17,概念股_福建自貿區,,,,,-333.0,
2026-03-17,概念股_美容,2.65,132.75,454,,,
2026-03-17,概念股_衛生保健,-0.41,57.14,4,,,
2026-03-17,概念股_視力保健,1.78,134.23,149,,,
2026-03-17,概念股_記憶體,,,,10153.0,-621.0,
2026-03-17,概念股_資訊月,,,,2518.0,166.0,
2026-03-17,概念股_車用電子,,,,-212.0,,219.0
2026-03-17,概念股_連接器,,,,493.0,,196.0
2026-03-17,概念股_醫療器材耗材,,,,,,-141.0
2026-03-17,概念股_雙十一,,,,,,-294.0
2026-03-17,筆記型電腦,,,,1487.0,213.0,
2026-03-17,聲學元件,4.23,103.57,29,,,
2026-03-17,自行車,4.16,168.77,481,,,
2026-03-17,航運,2.46,60.87,6784,6689.0,-46.0,
2026-03-17,記憶體IC設計,,,,1872.0,31.0,
2026-03-17,記憶體製造,,,,3074.0,-593.0,
2026-03-17,通訊設備,,,,,,35.0
2026-03-17,連接元件,,,,,,134.0
