Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,foreign_amount,trust_amount,dealer_amount
2026-03-18,EMS,-1.49,105.01,18580,,,,,
2026-03-18,IC-代工,,,,309411,9366,,,
2026-03-18,IC-封測,,,,197262,5709,,,
2026-03-18,IC-設計,,,,,,,,188.0
2026-03-18,PCB-材料設備,,,,225835,4304,,,
2026-03-18,PCB-製造,,,,348771,4226,,,
2026-03-18,光學鏡片,,,,,,,,122.0
2026-03-18,太陽能,,,,109150,5998,,,
2026-03-18,概念股_3DIC聯盟,,,,,,4305.0,681.0,2360.0
2026-03-18,概念股_3D列印,,,,,,8571.0,-13.0,
2026-03-18,概念股_3D感測,,,,267628,5491,,,
2026-03-18,概念股_ADAS,,,,,,,,327.0
2026-03-18,概念股_AI PC,,,,,,,,3303.0
2026-03-18,概念股_Apple,,,,1024681,7663,,,
2026-03-18,概念股_BBU,,,,,,6489.0,-88.0,
2026-03-18,概念股_CES,,,,,,,,3117.0
2026-03-18,概念股_MIH概念股,,,,,,,,934.0
2026-03-18,概念股_PCB,,,,342873,4776,,,
2026-03-18,概念股_Tesla,,,,,,3044.0,1406.0,1043.0
2026-03-18,概念股_Type C,,,,272533,4264,,,
2026-03-18,概念股_一帶一路,,,,,,,,693.0
2026-03-18,概念股_保護元件,3.91,117.96,486,,,,,
2026-03-18,概念股_元宇宙,,,,,,5954.0,-805.0,
2026-03-18,概念股_共享單車,-2,161.61,14865,,,,,
2026-03-18,概念股_再生醫療,4.14,298.63,218,,,,,
2026-03-18,概念股_太陽能,,,,,,6721.0,505.0,
2026-03-18,概念股_小米,,,,,,,,311.0
2026-03-18,概念股_建材,1.53,291.67,280,,,,,
2026-03-18,概念股_挖礦技術,5.47,100.66,14455,,,6546.0,136.0,
2026-03-18,概念股_散熱模組,,,,,,,,86.0
2026-03-18,概念股_智慧城市,,,,,,7346.0,-81.0,
2026-03-18,概念股_氣候變遷,,,,322305,6942,7248.0,-1013.0,
2026-03-18,概念股_氫燃料電池,,,,,,5264.0,202.0,
2026-03-18,概念股_無人機,,,,,,,,531.0
2026-03-18,概念股_物聯網,,,,447037,6559,,,
2026-03-18,概念股_碳權,,,,,,6948.0,-828.0,
2026-03-18,概念股_第三方支付,,,,,,5106.0,53.0,
2026-03-18,概念股_虛擬貨幣,,,,291769,4752,2874.0,713.0,3239.0
2026-03-18,概念股_被動元件,6.35,178.9,29572,173319,7648,6340.0,379.0,
2026-03-18,概念股_記憶體,,,,,,,,362.0
2026-03-18,概念股_變壓器,5.44,97.67,11155,,,6265.0,17.0,
2026-03-18,概念股_車用電子,,,,,,,,1331.0
2026-03-18,概念股_軍工,0.92,98.28,5875,,,,,116.0
2026-03-18,概念股_連接器,,,,214072,3564,,,-225.0
2026-03-18,概念股_醫療儀器設備,2.01,372.22,134,,,,,
2026-03-18,概念股_鋁質電容,5.45,182.6,1448,,,,,
2026-03-18,概念股_電動車,,,,473161,8514,,,710.0
2026-03-18,概念股_電容,9.31,300.78,15716,80065,4151,,,
2026-03-18,概念股_電感,5.88,124.46,11972,,,5825.0,21.0,
2026-03-18,概念股_電源供應器,5.27,102.32,12964,,,6721.0,21.0,
2026-03-18,概念股_電阻,4.8,307.96,348,,,,,
2026-03-18,概念股_風電,,,,,,6660.0,13.0,
2026-03-18,概念股_鴻海MIH電動車平台,,,,653801,3538,,,
2026-03-18,被動元件,7.44,141.75,17459,163215,6926,,,
2026-03-18,記憶體製造,,,,121370,4013,,,313.0
2026-03-18,電源供應器,5.44,109.33,13034,,,6694.0,-23.0,
