Date,SectorName,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio
2026-03-20,IC-代工,,,7052,665,
2026-03-20,IC-半導體設備,,,,,6.22
2026-03-20,IC-設計,234914,3761,,,
2026-03-20,LED照明及光元件,,,2123,206,
2026-03-20,PCB-材料設備,,,9409,511,4.17
2026-03-20,PCB-製造,352630,6348,,,
2026-03-20,主機板,,,920,123,
2026-03-20,其他,,,1015,179,
2026-03-20,化學工業,230286,13347,3448,119,
2026-03-20,塑膠,296031,7869,,,
2026-03-20,太陽能,,,,,4.09
2026-03-20,概念股_3DIC聯盟,148265,4132,,,
2026-03-20,概念股_3D感測,279006,4544,,,
2026-03-20,概念股_5G,385411,7447,,,
2026-03-20,概念股_AI PC,677771,5467,,,
2026-03-20,概念股_CES,1929690,13574,,,
2026-03-20,概念股_MWC,942599,11466,,,
2026-03-20,概念股_PS5,319428,7240,,,
2026-03-20,概念股_一帶一路,517622,6525,,,
2026-03-20,概念股_光通訊,,,2502,104,
2026-03-20,概念股_夏季,,,1900,59,
2026-03-20,概念股_指紋辨識,159474,5454,,,
2026-03-20,概念股_挖礦技術,,,1025,99,
2026-03-20,概念股_文創,,,578,286,
2026-03-20,概念股_新零售,,,,,4.63
2026-03-20,概念股_無線充電,311572,7303,,,
2026-03-20,概念股_無線耳機,,,,,3.89
2026-03-20,概念股_穿載式裝置,1270240,4648,,,
2026-03-20,概念股_虛擬貨幣,303989,6440,,,
2026-03-20,概念股_製藥業,,,,,4.08
2026-03-20,概念股_銅箔,,,,,7.82
2026-03-20,概念股_電競,250003,3747,,,4.24
2026-03-20,概念股_風電,,,,,5.65
2026-03-20,玻璃陶瓷,,,8993,98,10.43
2026-03-20,磁碟陣列,,,364,146,
2026-03-20,自行車,,,1424,92,12.41
2026-03-20,記憶體製造,,,465,465,
2026-03-20,記憶體銷售,,,2298,592,4.85
2026-03-20,通訊設備,,,6264,115,6.54
2026-03-20,金屬製品,,,,,11.66
2026-03-20,顯示器,59085,7744,780,269,
