Date,SectorName,foreign_amount,trust_amount,dealer_amount
2026-03-27,ABF,3329.0,1241.0,
2026-03-27,IC-代工,,,698.0
2026-03-27,NB與手機零組件,3351.0,978.0,
2026-03-27,PCB-材料設備,3769.0,810.0,
2026-03-27,PCB-製造,10507.0,607.0,
2026-03-27,概念股_3DIC聯盟,,,1225.0
2026-03-27,概念股_3D感測,,,735.0
2026-03-27,概念股_ADAS,2858.0,2235.0,1435.0
2026-03-27,概念股_AI PC,,,2640.0
2026-03-27,概念股_AMD,,,1652.0
2026-03-27,概念股_AR,1409.0,,
2026-03-27,概念股_Apple,4215.0,4990.0,4080.0
2026-03-27,概念股_GB200,,,1817.0
2026-03-27,概念股_GB300,-3360.0,,1025.0
2026-03-27,概念股_IC載板,5496.0,1270.0,
2026-03-27,概念股_PCB,12193.0,1618.0,
2026-03-27,概念股_Tesla,2601.0,2089.0,1864.0
2026-03-27,概念股_iPhone,-410.0,,3244.0
2026-03-27,概念股_一帶一路,1562.0,,1451.0
2026-03-27,概念股_光通訊,977.0,,-276.0
2026-03-27,概念股_手遊,,-13.0,
2026-03-27,概念股_文創,,-1.0,
2026-03-27,概念股_次世代半導體,,,825.0
2026-03-27,概念股_穿載式裝置,,,2737.0
2026-03-27,概念股_線上遊戲,,0.0,
2026-03-27,概念股_美元升值,6812.0,3451.0,1193.0
2026-03-27,概念股_車聯網,,,2082.0
2026-03-27,概念股_軌道衛星,2373.0,1825.0,
2026-03-27,概念股_連接器,,,-107.0
2026-03-27,概念股_銅箔基板,3721.0,635.0,
2026-03-27,概念股_雙十一,2894.0,80.0,
2026-03-27,概念股_電動車,2676.0,1983.0,2013.0
2026-03-27,概念股_電商宅經濟,3862.0,-14.0,
2026-03-27,筆記型電腦,,-167.0,
2026-03-27,連接元件,,,-351.0
2026-03-27,遊戲,,0.0,
