Date,SectorName,PriceChange,TurnoverChange,FundFlow,trust_amount,dealer_amount
2026-03-31,ABF,,,,-392.0,
2026-03-31,Core Sys.,,,,1.0,
2026-03-31,IC-代工,,,,,-583.0
2026-03-31,IC-半導體設備,,,,-264.0,
2026-03-31,IC-通路,,,,57.0,
2026-03-31,IP/ASIC,-6.25,63.26,8279,,
2026-03-31,RAN,,,,,-229.0
2026-03-31,塑膠,5.33,135.87,14506,500.0,
2026-03-31,文創娛樂,-2.21,65.35,66,,
2026-03-31,晶圓材料,,,,-87.0,
2026-03-31,概念股_3D感測,,,,,-677.0
2026-03-31,概念股_5G,,,,,203.0
2026-03-31,概念股_ADAS,,,,1162.0,
2026-03-31,概念股_AMD,,,,,440.0
2026-03-31,概念股_AWS,,,,,-1243.0
2026-03-31,概念股_ChatGPT,,,,,-1457.0
2026-03-31,概念股_DANCE,,,,,-900.0
2026-03-31,概念股_HBM,,,,-112.0,
2026-03-31,概念股_IC載板,,,,-391.0,
2026-03-31,概念股_MIH概念股,,,,,-327.0
2026-03-31,概念股_NIKE,,,,-12.0,
2026-03-31,概念股_TPP,2.17,116.44,4179,-3.0,
2026-03-31,概念股_Tesla,,,,,57.0
2026-03-31,概念股_UA,,,,-12.0,
2026-03-31,概念股_一帶一路,,,,,1044.0
2026-03-31,概念股_光通訊,,,,,-237.0
2026-03-31,概念股_功率半導體,,,,,-926.0
2026-03-31,概念股_次世代半導體,,,,,-612.0
2026-03-31,概念股_無人機,1.3,74.59,1638,,
2026-03-31,概念股_矽智財IP,-6.22,62.36,8292,,
2026-03-31,概念股_碳權,,,,,-602.0
2026-03-31,概念股_福建自貿區,-1.39,63.05,5253,,
2026-03-31,概念股_穿載式裝置,,,,,-166.0
2026-03-31,概念股_美容,-1.09,80.95,153,,
2026-03-31,概念股_行動支付,,,,,-724.0
2026-03-31,概念股_衛生保健,0.25,120,6,,
2026-03-31,概念股_車聯網,,,,,-579.0
2026-03-31,概念股_軍工,,,,66.0,
2026-03-31,概念股_農業生技,1.11,103.08,201,,
2026-03-31,概念股_遠距教學,,,,,-391.0
2026-03-31,概念股_醫療器材耗材,6.8,239.4,9583,485.0,
2026-03-31,橡膠,2.22,134.94,699,,
2026-03-31,紡織纖維,,,,-12.0,
2026-03-31,網通,,,,,-382.0
2026-03-31,記憶體IC設計,,,,-297.0,
2026-03-31,記憶體製造,,,,-38.0,
2026-03-31,變壓器與UPS,0.8,86.95,513,,
2026-03-31,鋼鐵,-1.06,192.49,4512,,
2026-03-31,電機,,,,-203.0,
