Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,trust_amount,dealer_amount
2026-04-02,IC-製造,,,,276668,11364,,,,,
2026-04-02,LCD-TFT面板,5.86,14.57,1698,561289,12604,8739,1733,,,
2026-04-02,PCB-製造,,,,,,8579,947,,,
2026-04-02,RAN,,,,,,4048,1482,3.82,,
2026-04-02,半導體元件,,,,,,,,4.42,,
2026-04-02,太陽能,,,,,,,,14.81,,
2026-04-02,安全監控,1.78,54.93,117,,,,,,,
2026-04-02,概念股_3DIC聯盟,,,,,,,,,2208.0,
2026-04-02,概念股_3D列印,,,,734252,14265,,,,,
2026-04-02,概念股_3D感測,,,,,,,,,2629.0,5068.0
2026-04-02,概念股_ADAS,,,,476648,13218,,,,,
2026-04-02,概念股_AI PC,,,,629680,16729,,,,1784.0,
2026-04-02,概念股_AMD,,,,,,,,,3312.0,6196.0
2026-04-02,概念股_AWS,,,,,,,,,6045.0,7104.0
2026-04-02,概念股_Apple,,,,,,,,,5890.0,7793.0
2026-04-02,概念股_CES,,,,1891348,30940,,,,,7365.0
2026-04-02,概念股_ChatGPT,,,,,,,,,3824.0,5571.0
2026-04-02,概念股_CoWoS,,,,,,,,,1917.0,
2026-04-02,概念股_DANCE,,,,,,,,,2133.0,
2026-04-02,概念股_GB200,,,,,,,,,4473.0,6866.0
2026-04-02,概念股_GB300,,,,,,,,,,2597.0
2026-04-02,概念股_HPC,,,,,,,,,1400.0,
2026-04-02,概念股_MIH概念股,,,,778120,12250,,,,,
2026-04-02,概念股_MWC,,,,942512,16187,16773,2397,,,6642.0
2026-04-02,概念股_Micro LED,,,,,,9338,1189,,,
2026-04-02,概念股_MiniLED,,,,665404,10830,9567,1151,,,
2026-04-02,概念股_NIKE,1.66,43.39,912,,,,,,,
2026-04-02,概念股_PS5,,,,,,,,,,6478.0
2026-04-02,概念股_Switch,,,,,,,,,1230.0,
2026-04-02,概念股_TPU,,,,,,,,,,4878.0
2026-04-02,概念股_Tesla,,,,594683,11845,4070,960,,,1282.0
2026-04-02,概念股_UA,1.68,35.43,782,,,,,,,
2026-04-02,概念股_Wifi 7,,,,,,3368,1469,,,
2026-04-02,概念股_iPhone,,,,,,,,,4909.0,6886.0
2026-04-02,概念股_一帶一路,,,,,,,,,,2085.0
2026-04-02,概念股_人工智慧,,,,,,,,,1633.0,
2026-04-02,概念股_低軌衛星,,,,,,,,3.84,,
2026-04-02,概念股_保健食品,1.11,35.02,111,,,,,,,
2026-04-02,概念股_元宇宙,,,,,,,,,1899.0,
2026-04-02,概念股_原料藥,3.19,17.82,18,,,,,,,
2026-04-02,概念股_夏季,,,,,,,,6.8,,
2026-04-02,概念股_太陽能,,,,562725,10995,23750,1846,4.22,,
2026-04-02,概念股_小米,,,,,,9927,874,,,
2026-04-02,概念股_居家辦公(WFH),,,,,,,,3.56,,
2026-04-02,概念股_指紋辨識,,,,,,,,,805.0,
2026-04-02,概念股_智慧顯示器,4.5,14.11,1844,610614,12652,9325,1501,,,
2026-04-02,概念股_次世代半導體,,,,,,,,,2441.0,
2026-04-02,概念股_氣候變遷,,,,,,,,4.93,1818.0,
2026-04-02,概念股_濾波器,5.42,26.8,1303,,,,,,,
2026-04-02,概念股_無線充電,,,,,,,,,,6107.0
2026-04-02,概念股_無線耳機,,,,,,,,4.76,,
2026-04-02,概念股_物聯網,,,,,,5448,1110,,,
2026-04-02,概念股_生物辨識,,,,311385,11001,,,,,
2026-04-02,概念股_矽晶圓,-0.46,34.35,904,,,,,,,
2026-04-02,概念股_碳權,,,,,,,,3.64,1882.0,
2026-04-02,概念股_穿載式裝置,,,,1176524,18064,,,,,6906.0
2026-04-02,概念股_美元升值,,,,,,,,,,1947.0
2026-04-02,概念股_自動駕駛,2.56,17.01,847,,,,,,,
2026-04-02,概念股_虛擬貨幣,,,,,,,,,1318.0,
2026-04-02,概念股_記憶體,,,,450183,20849,,,,,
2026-04-02,概念股_車用電子,,,,1355096,25994,23656,1032,,,
2026-04-02,概念股_車聯網,,,,1104196,27799,,,,,6148.0
2026-04-02,概念股_軌道衛星,,,,590807,15412,19915,1851,3.37,,777.0
2026-04-02,概念股_運動健身,6.73,65.45,36,,,,,,,
2026-04-02,概念股_遠距教學,,,,,,3321,1396,3.52,,
2026-04-02,概念股_醫美保養妝品,3.15,33.49,71,,,,,,,
2026-04-02,概念股_防疫,,,,,,,,4.95,,
2026-04-02,概念股_雙十一,,,,779326,11241,12770,1855,,,
2026-04-02,概念股_電動車,,,,,,,,,,1723.0
2026-04-02,概念股_電競,,,,,,6960,1003,,,
2026-04-02,概念股_風電,,,,,,,,3.33,,
2026-04-02,照明,,,,,,,,5.4,,
2026-04-02,玻璃陶瓷,,,,,,,,5.1,,
2026-04-02,系統整合,2.08,57.25,707,,,,,,,
2026-04-02,紡織纖維,1.44,41.48,794,,,,,,,
2026-04-02,網通,,,,,,3782,1598,,,
2026-04-02,聲學元件,1.19,168,42,,,,,,,
2026-04-02,航運,,,,,,3868,1020,,,
2026-04-02,記憶體銷售,,,,,,,,14.75,,
2026-04-02,變壓器與UPS,5.45,15.92,138,,,,,,,
2026-04-02,運動休閒,4.29,17.09,20,,,,,,,
2026-04-02,高爾夫球,2.52,128.05,105,,,,,,,
