Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,foreign_amount,trust_amount,dealer_amount
2026-04-09,IC-代工,,,,,,,,,,,3574.0
2026-04-09,IC-封測,,,,,,4531,597,,,,
2026-04-09,IC-導線架,,,,,,,,4.91,,,
2026-04-09,PCB-材料設備,,,,227017,8732,,,,,,
2026-04-09,PCB-製造,,,,355117,11395,,,,,,
2026-04-09,RAN,,,,,,3481,489,3.4,,,
2026-04-09,主機板,7.54,197.57,3252,,,,,,,,
2026-04-09,保險,0.94,135.42,130,,,,,,,,
2026-04-09,化學工業,,,,,,1844,457,,,,
2026-04-09,半導體元件,,,,,,,,4.65,,,
2026-04-09,塑膠,,,,,,5064,512,,,,
2026-04-09,太陽能,,,,,,,,16.09,,,
2026-04-09,概念股_3DIC聯盟,,,,,,3050,554,,51913.0,1323.0,
2026-04-09,概念股_3D列印,,,,738857,7224,6430,674,,,,
2026-04-09,概念股_3D感測,,,,292948,5754,,,,,,
2026-04-09,概念股_5G,,,,,,,,,,,2036.0
2026-04-09,概念股_AI PC,,,,638865,5586,,,,72294.0,1084.0,
2026-04-09,概念股_AMD,,,,,,,,,59857.0,3583.0,5796.0
2026-04-09,概念股_AWS,,,,,,,,,64965.0,1738.0,6783.0
2026-04-09,概念股_Apple,,,,992868,16597,12800,740,,59493.0,2442.0,7535.0
2026-04-09,概念股_CES,,,,1909864,9838,,,,75578.0,4250.0,8624.0
2026-04-09,概念股_ChatGPT,4.98,132.5,100030,,,,,,49800.0,1742.0,4810.0
2026-04-09,概念股_Chromebook,5.7,134.82,33094,,,,,,,,
2026-04-09,概念股_CoWoS,,,,,,,,,44556.0,1381.0,
2026-04-09,概念股_DANCE,4.88,184.08,87005,,,,,,46609.0,1557.0,4478.0
2026-04-09,概念股_FANG,5.04,130.83,107085,,,,,,50356.0,1490.0,
2026-04-09,概念股_FOPLP扇出型封裝,,,,,,3092,1466,,,,
2026-04-09,概念股_GB200,,,,,,,,,68645.0,1728.0,7007.0
2026-04-09,概念股_HBM,,,,,,,,3.31,,,
2026-04-09,概念股_IC載板,,,,97119,8482,,,,,,
2026-04-09,概念股_MIH概念股,,,,781062,8196,6052,1025,,,,
2026-04-09,概念股_MWC,,,,937208,10743,13044,472,,53961.0,596.0,
2026-04-09,概念股_MiniLED,,,,,,7012,674,,,,
2026-04-09,概念股_NFC,4.82,129.24,88364,,,,,,,,
2026-04-09,概念股_Oracle甲骨文,5.41,166.42,26339,,,,,,,,
2026-04-09,概念股_PCB,,,,355659,11940,,,,,,
2026-04-09,概念股_PS5,,,,304264,5759,,,,45342.0,1650.0,6190.0
2026-04-09,概念股_RFID,4.81,238.63,1007,,,,,,,,
2026-04-09,概念股_Switch,4.85,157.61,76232,,,,,,,,
2026-04-09,概念股_TPU,,,,,,,,,,,4283.0
2026-04-09,概念股_Tesla,,,,,,5720,1508,,,,
2026-04-09,概念股_Wifi 7,,,,,,3189,471,3.15,,,
2026-04-09,概念股_iPhone,,,,401199,14280,,,,50435.0,1083.0,
2026-04-09,概念股_人工智慧,,,,,,,,,60870.0,166.0,
2026-04-09,概念股_元宇宙,,,,,,,,,,,4458.0
2026-04-09,概念股_光通訊,,,,,,,,3.69,,,
2026-04-09,概念股_功率半導體,,,,,,,,,,,3592.0
2026-04-09,概念股_夏季,,,,,,,,7.16,,,
2026-04-09,概念股_太陽能,,,,569733,9333,,,3.78,,,
2026-04-09,概念股_居家辦公(WFH),5.52,137.97,23641,,,,,3.34,,,
2026-04-09,概念股_指紋辨識,4.87,152.23,74747,,,,,,,,
2026-04-09,概念股_旅展,,,,,,,,3.28,,,
2026-04-09,概念股_智慧音箱,4.95,150.55,86590,,,,,,,,
2026-04-09,概念股_智慧顯示器,,,,,,6240,770,,,,
2026-04-09,概念股_次世代半導體,,,,,,,,,,,3711.0
2026-04-09,概念股_氣候變遷,,,,,,,,5.31,,,
2026-04-09,概念股_無線充電,,,,,,,,,46895.0,436.0,
2026-04-09,概念股_環境工程,2.64,149.28,415,,,,,,,,
2026-04-09,概念股_生物辨識,,,,317879,7645,,,,,,
2026-04-09,概念股_碳權,,,,,,,,3.75,45661.0,2039.0,4715.0
2026-04-09,概念股_福建自貿區,,,,,,,,,,,130.0
2026-04-09,概念股_穿載式裝置,,,,1220259,17061,,,,62172.0,2368.0,7370.0
2026-04-09,概念股_美元升值,,,,,,,,,,,2782.0
2026-04-09,概念股_虛擬貨幣,,,,,,,,,47840.0,130.0,
2026-04-09,概念股_行動支付,,,,361636,7177,,,,,,
2026-04-09,概念股_車用電子,,,,1353830,7856,,,,,,
2026-04-09,概念股_車聯網,,,,1096499,5504,15127,531,,56511.0,1602.0,6632.0
2026-04-09,概念股_軌道衛星,,,,,,21003,1978,3.63,,,
2026-04-09,概念股_遠距教學,,,,,,3139,483,3.38,,,
2026-04-09,概念股_鋁質電容,6.19,150.29,1031,,,,,,,,
2026-04-09,概念股_雙十一,,,,,,9186,514,,,,
2026-04-09,概念股_鴻海MIH電動車平台,,,,599784,6756,,,,,,
2026-04-09,照明,,,,,,,,4.36,,,
2026-04-09,筆記型電腦,5.08,223.33,18175,,,,,,,,
2026-04-09,網通,,,,,,3274,448,,,,
2026-04-09,記憶體銷售,,,,,,,,6.8,,,
2026-04-09,證券,1.82,148.49,542,,,,,,,,
