Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,dealer_amount
2026-04-10,IC-半導體設備,,,,,,,,2.98,
2026-04-10,IC-導線架,,,,,,,,4.82,
2026-04-10,LCD-TFT面板,2.64,73.99,13091,594661,46889,9482,3932,,
2026-04-10,RAN,,,,,,,,,-159.0
2026-04-10,其他,0.66,116.71,1711,,,,,,
2026-04-10,半導體元件,,,,,,,,4.87,
2026-04-10,太陽能,,,,,,18281,2704,19.02,
2026-04-10,概念股_3D列印,,,,754589,16457,,,,
2026-04-10,概念股_3D感測,,,,,,,,,-532.0
2026-04-10,概念股_5G,,,,,,,,,-70.0
2026-04-10,概念股_ADAS,,,,488624,9529,,,,-384.0
2026-04-10,概念股_CES,,,,1960132,43974,29111,5273,,
2026-04-10,概念股_GB300,,,,,,,,,735.0
2026-04-10,概念股_HBM,,,,,,,,3.89,
2026-04-10,概念股_IC載板,,,,,,,,,-123.0
2026-04-10,概念股_MWC,,,,984371,44009,15471,2751,,
2026-04-10,概念股_Micro LED,,,,663201,53737,10223,3963,,
2026-04-10,概念股_MiniLED,,,,723161,59296,11240,4209,,
2026-04-10,概念股_PCB,,,,,,,,,1133.0
2026-04-10,概念股_Tesla,,,,,,,,,1940.0
2026-04-10,概念股_一帶一路,,,,506152,10414,,,,
2026-04-10,概念股_低軌衛星,,,,,,6443,2420,4.68,923.0
2026-04-10,概念股_光通訊,,,,,,,,4.2,96.0
2026-04-10,概念股_夏季,,,,,,16474,3148,8.8,
2026-04-10,概念股_太陽能,,,,619574,50210,28462,6920,4.59,
2026-04-10,概念股_小米,,,,501375,40988,9600,3307,,
2026-04-10,概念股_居家辦公(WFH),,,,,,,,,-165.0
2026-04-10,概念股_新零售,-0.56,122.05,2286,,,,,,
2026-04-10,概念股_智慧顯示器,,,,645909,46283,10181,3877,,
2026-04-10,概念股_氣候變遷,,,,,,18741,2431,6.1,
2026-04-10,概念股_物聯網,,,,412548,10527,,,,
2026-04-10,概念股_生物相似藥,-3.18,127.5,51,,,,,,
2026-04-10,概念股_石英元件,7.19,72.37,634,,,,,,
2026-04-10,概念股_碳權,,,,,,19560,2542,4.37,
2026-04-10,概念股_美元升值,,,,,,,,,-336.0
2026-04-10,概念股_自動駕駛,,,,,,,,,-32.0
2026-04-10,概念股_記憶體,,,,471653,13298,,,,
2026-04-10,概念股_車用電子,,,,1414569,56669,,,,1147.0
2026-04-10,概念股_車聯網,,,,1150168,49511,18923,3676,,
2026-04-10,概念股_軌道衛星,,,,,,24449,3887,4.21,915.0
2026-04-10,概念股_軍工,3.83,100.38,7877,,,,,,
2026-04-10,概念股_遠距教學,,,,,,,,,2.0
2026-04-10,概念股_醫藥通路,-1.23,76.92,20,,,,,,
2026-04-10,概念股_銅箔,2.22,180.06,10166,,,,,,
2026-04-10,概念股_銅箔基板,,,,,,,,3.27,
2026-04-10,概念股_長期照護,,,,336301,44080,,,,
2026-04-10,概念股_長照,0.86,320.12,1639,,,,,,
2026-04-10,概念股_雙十一,,,,813718,47579,12494,3298,,
2026-04-10,概念股_電動車,,,,425088,8410,,,,1971.0
2026-04-10,概念股_電競,,,,291633,43449,6284,3243,,
2026-04-10,照明,,,,,,,,4.37,
2026-04-10,玻璃陶瓷,0.7,286.37,9370,,,,,,
2026-04-10,磁碟陣列,1.68,101.33,304,,,,,,
2026-04-10,網通,,,,,,,,,26.0
2026-04-10,記憶體銷售,,,,,,,,5.98,
2026-04-10,通訊設備,,,,,,4644,3213,4.78,-239.0
2026-04-10,電信服務,,,,,,,,7.03,
2026-04-10,電子元件通路,5.89,88.29,181,,,,,,
2026-04-10,顯示器,4.5,93.66,1375,,,,,,
2026-04-10,高爾夫球,0.79,83.19,94,,,,,,
