日期,股票代號,股票名稱,股數,持股權重
2025-12-17,2330,台積電,2915000,9.16%
2025-12-17,3711,日月光投控,1582000,0.79%
2025-12-17,6191,精成科,3058000,0.79%
2025-12-17,3533,嘉澤,251000,0.73%
2025-12-17,3515,華擎,1003000,0.54%
2025-12-17,4958,臻鼎-KY,1737000,0.53%
2025-12-17,2354,鴻準,3808000,0.51%
2025-12-17,5347,世界,1815000,0.38%
2025-12-17,3211,順達,505000,0.34%
2025-12-17,3081,聯亞,252000,0.33%
2025-12-17,1319,東陽,671000,0.14%
2025-12-17,2313,華通,3810000,0.79%
2025-12-17,3217,優群,292000,0.1%
2025-12-17,6510,精測,1000,0.01%
2025-12-17,1303,南亞,1000,0%
2025-12-17,2327,國巨*,1000,0%
2025-12-17,2357,華碩,1000,0%
2025-12-17,2439,美律,1000,0%
2025-12-17,2884,玉山金,1010,0%
2025-12-17,3008,大立光,1000,0%
2025-12-17,3045,台灣大,1000,0%
2025-12-17,3583,辛耘,1000,0%
2025-12-17,8996,高力,1000,0%
2025-12-17,3044,健鼎,93000,0.06%
2025-12-17,8299,群聯,333000,0.8%
2025-12-17,6515,穎崴,47000,0.27%
2025-12-17,3715,定穎投控,3460000,0.87%
2025-12-17,8358,金居,1668000,0.87%
2025-12-17,2383,台光電,1848000,6.07%
2025-12-17,6669,緯穎,646000,5.93%
2025-12-17,3017,奇鋐,1879000,5.53%
2025-12-17,2368,金像電,3958000,5.1%
2025-12-17,2308,台達電,2452000,4.79%
2025-12-17,3665,貿聯-KY,1502848,4.74%
2025-12-17,6223,旺矽,894000,4.4%
2025-12-17,3653,健策,642000,3.82%
2025-12-17,6274,台燿,3768000,3.43%
2025-12-17,2317,鴻海,7002000,3.33%
2025-12-17,2345,智邦,2342000,6.1%
2025-12-17,6805,富世達,855000,2.72%
2025-12-17,2454,聯發科,976000,3.06%
2025-12-17,3231,緯創,3091000,0.94%
2025-12-17,2404,漢唐,550000,1.16%
2025-12-17,3661,世芯-KY,210000,1.48%
2025-12-17,5274,信驊,107000,1.53%
2025-12-17,5536,聖暉*,511000,0.89%
2025-12-17,6139,亞翔,1599000,2.07%
2025-12-17,2449,京元電子,4969000,2.35%
2025-12-17,8210,勤誠,1228000,2.41%
2025-12-17,2059,川湖,197000,1.53%
2025-12-18,3081,聯亞,102000,0.13%
2025-12-18,6191,精成科,3088000,0.76%
2025-12-18,3533,嘉澤,252000,0.7%
2025-12-18,5347,世界,2793000,0.58%
2025-12-18,3515,華擎,1004000,0.54%
2025-12-18,4958,臻鼎-KY,1738000,0.52%
2025-12-18,2354,鴻準,3809000,0.5%
2025-12-18,3711,日月光投控,1592000,0.76%
2025-12-18,3211,順達,555000,0.38%
2025-12-18,1319,東陽,1574000,0.32%
2025-12-18,3217,優群,306000,0.11%
2025-12-18,2357,華碩,1000,0%
2025-12-18,6510,精測,2000,0.01%
2025-12-18,1303,南亞,1000,0%
2025-12-18,2327,國巨*,1000,0%
2025-12-18,2439,美律,1000,0%
2025-12-18,2884,玉山金,1010,0%
2025-12-18,3008,大立光,1000,0%
2025-12-18,3045,台灣大,1000,0%
2025-12-18,3583,辛耘,1000,0%
2025-12-18,8996,高力,1000,0%
2025-12-18,2313,華通,3910000,0.77%
2025-12-18,3044,健鼎,143000,0.09%
2025-12-18,5536,聖暉*,512000,0.84%
2025-12-18,6515,穎崴,48000,0.26%
2025-12-18,8358,金居,1668000,0.87%
2025-12-18,6669,緯穎,683000,6.13%
2025-12-18,2383,台光電,1878000,6.06%
2025-12-18,2345,智邦,2357000,5.98%
2025-12-18,3017,奇鋐,1975000,5.77%
2025-12-18,2368,金像電,3988000,5.05%
2025-12-18,3665,貿聯-KY,1532848,4.74%
2025-12-18,2308,台達電,2457000,4.71%
2025-12-18,6223,旺矽,902000,4.28%
2025-12-18,3653,健策,647000,3.69%
2025-12-18,6274,台燿,4034000,3.58%
2025-12-18,2454,聯發科,1168000,3.57%
2025-12-18,2330,台積電,3062000,9.41%
2025-12-18,3715,定穎投控,3510000,0.85%
2025-12-18,6805,富世達,865000,2.7%
2025-12-18,8210,勤誠,1303000,2.48%
2025-12-18,6139,亞翔,1604000,2.01%
2025-12-18,3661,世芯-KY,284000,1.94%
2025-12-18,2449,京元電子,4024000,1.8%
2025-12-18,5274,信驊,125000,1.78%
2025-12-18,2059,川湖,202000,1.53%
2025-12-18,8299,群聯,582000,1.35%
2025-12-18,2404,漢唐,551000,1.13%
2025-12-18,3231,緯創,3101000,0.93%
2025-12-18,2317,鴻海,7032000,3.26%
2025-12-22,2354,鴻準,3809000,0.49%
2025-12-22,4958,臻鼎-KY,1738000,0.52%
2025-12-22,3515,華擎,1004000,0.52%
2025-12-22,5347,世界,2793000,0.56%
2025-12-22,5536,聖暉*,512000,0.81%
2025-12-22,3533,嘉澤,252000,0.69%
2025-12-22,3711,日月光投控,1592000,0.76%
2025-12-22,6191,精成科,3088000,0.76%
2025-12-22,3211,順達,555000,0.39%
2025-12-22,1303,南亞,4519000,0.57%
2025-12-22,1319,東陽,1574000,0.31%
2025-12-22,3583,辛耘,1000,0%
2025-12-22,3217,優群,306000,0.1%
2025-12-22,3044,健鼎,143000,0.09%
2025-12-22,6510,精測,2000,0.01%
2025-12-22,2357,華碩,1000,0%
2025-12-22,2439,美律,1000,0%
2025-12-22,3008,大立光,1000,0%
2025-12-22,3045,台灣大,1000,0%
2025-12-22,3081,聯亞,1000,0%
2025-12-22,2327,國巨*,1000,0%
2025-12-22,2884,玉山金,1010,0%
2025-12-22,8358,金居,1668000,0.86%
2025-12-22,6515,穎崴,48000,0.26%
2025-12-22,8996,高力,1000,0%
2025-12-22,3715,定穎投控,3554960,0.88%
2025-12-22,2313,華通,4685000,0.94%
2025-12-22,6139,亞翔,747000,0.88%
2025-12-22,2330,台積電,3146000,9.54%
2025-12-22,3017,奇鋐,2136000,6.52%
